| end of split   2 /100 | epoch   1 | time: 2600.12s | valid loss  1.41 | valid ppl     4.10 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 2694.00s | valid loss  1.34 | valid ppl     3.83 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 2599.60s | valid loss  1.31 | valid ppl     3.71 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 2600.74s | valid loss  1.28 | valid ppl     3.60 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 2595.44s | valid loss  1.27 | valid ppl     3.54 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 2601.96s | valid loss  1.25 | valid ppl     3.48 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 2601.74s | valid loss  1.23 | valid ppl     3.41 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 2599.25s | valid loss  1.22 | valid ppl     3.38 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 2599.66s | valid loss  1.21 | valid ppl     3.36 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 2601.34s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 2598.13s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 2594.85s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 2600.82s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 2599.31s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 2599.28s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 2600.28s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 2599.45s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 2601.19s | valid loss  1.16 | valid ppl     3.21 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 2596.31s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 2600.29s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 2599.71s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 2600.14s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 2600.97s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 2601.28s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 2600.94s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 2597.18s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  28 /100 | epoch   1 | time: 2601.78s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  29 /100 | epoch   1 | time: 2601.24s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  30 /100 | epoch   1 | time: 2602.60s | valid loss  1.13 | valid ppl     3.11 | learning rate 20.00
| end of split  31 /100 | epoch   1 | time: 2603.22s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  32 /100 | epoch   1 | time: 2602.40s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  33 /100 | epoch   1 | time: 2602.14s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  34 /100 | epoch   1 | time: 2599.96s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  35 /100 | epoch   1 | time: 2603.64s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  36 /100 | epoch   1 | time: 2602.89s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  37 /100 | epoch   1 | time: 2604.23s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  38 /100 | epoch   1 | time: 2603.90s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  39 /100 | epoch   1 | time: 2604.92s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  40 /100 | epoch   1 | time: 2603.29s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  41 /100 | epoch   1 | time: 2599.02s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  42 /100 | epoch   1 | time: 2603.18s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  43 /100 | epoch   1 | time: 2602.41s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  44 /100 | epoch   1 | time: 369.48s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  45 /100 | epoch   1 | time: 2602.79s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  46 /100 | epoch   1 | time: 2610.95s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  47 /100 | epoch   1 | time: 2605.94s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  48 /100 | epoch   1 | time: 2602.67s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  49 /100 | epoch   1 | time: 2604.35s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  50 /100 | epoch   1 | time: 2602.14s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  51 /100 | epoch   1 | time: 2603.11s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  52 /100 | epoch   1 | time: 2603.21s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  53 /100 | epoch   1 | time: 2605.05s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  54 /100 | epoch   1 | time: 2603.83s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  55 /100 | epoch   1 | time: 2599.88s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  56 /100 | epoch   1 | time: 2604.68s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  57 /100 | epoch   1 | time: 2603.45s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  58 /100 | epoch   1 | time: 2603.64s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  59 /100 | epoch   1 | time: 2604.38s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  60 /100 | epoch   1 | time: 2603.82s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  61 /100 | epoch   1 | time: 2603.68s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  62 /100 | epoch   1 | time: 2599.15s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  63 /100 | epoch   1 | time: 2604.05s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  64 /100 | epoch   1 | time: 2605.92s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  65 /100 | epoch   1 | time: 2605.87s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  66 /100 | epoch   1 | time: 2606.19s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  67 /100 | epoch   1 | time: 2604.24s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  68 /100 | epoch   1 | time: 2605.15s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  69 /100 | epoch   1 | time: 2598.46s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  70 /100 | epoch   1 | time: 2602.30s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  71 /100 | epoch   1 | time: 2701.68s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  72 /100 | epoch   1 | time: 2600.43s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  73 /100 | epoch   1 | time: 2602.08s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  74 /100 | epoch   1 | time: 2601.18s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  75 /100 | epoch   1 | time: 2599.43s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  76 /100 | epoch   1 | time: 2595.77s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  77 /100 | epoch   1 | time: 2603.62s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  78 /100 | epoch   1 | time: 2603.55s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  79 /100 | epoch   1 | time: 2601.94s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  80 /100 | epoch   1 | time: 2597.68s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  81 /100 | epoch   1 | time: 2597.24s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  82 /100 | epoch   1 | time: 2596.34s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  83 /100 | epoch   1 | time: 2592.26s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
